2.3786,1.6394,-1.2609,7.0002
2.381,1.6364,-1.2595,6.9068
2.3833,1.6334,-1.2993,7.0888
2.3857,1.6303,-1.2937,6.9935
2.3881,1.6272,-1.2898,6.953
2.3905,1.6241,-1.3315,7.0157
2.3929,1.6208,-1.3621,7.075
2.3952,1.6175,-1.4014,7.1328
2.3976,1.6142,-1.4323,7.1639
2.4,1.6107,-1.4427,7.3187
2.4024,1.6073,-1.411,7.1823
2.4048,1.604,-1.3795,7.0464
2.4071,1.6006,-1.4591,7.2886
2.4095,1.5971,-1.472,7.2228
2.4119,1.5936,-1.5003,7.2462
2.4143,1.59,-1.4967,7.4025
2.4167,1.5864,-1.5259,7.2827
2.419,1.5828,-1.4837,7.2185
2.4214,1.5791,-1.5663,7.3175
2.4238,1.5753,-1.6347,7.4789
2.4262,1.5713,-1.6924,7.5978
2.4286,1.5672,-1.7119,7.6439
2.431,1.5631,-1.7231,7.7691
2.4333,1.559,-1.7223,7.719
2.4357,1.555,-1.6927,7.6428
2.4381,1.5509,-1.7272,7.8006
2.4405,1.5468,-1.7319,7.7367
2.4429,1.5426,-1.765,7.7938
2.4452,1.5384,-1.7751,7.8462
2.4476,1.5341,-1.8002,7.9147
2.45,1.5298,-1.8162,7.9533
2.4524,1.5255,-1.777,7.9381
2.4548,1.5212,-1.8251,8.0869
2.4571,1.5168,-1.8554,8.0983
2.4595,1.5125,-1.8272,8.0716
2.4619,1.5081,-1.8724,8.2333
2.4643,1.5035,-1.8909,8.2396
2.4667,1.4991,-1.851,8.1822
2.469,1.4947,-1.8539,8.2918
2.4714,1.4903,-1.8412,8.2159
2.4738,1.486,-1.8158,8.1547
2.4762,1.4816,-1.8958,8.23
2.4786,1.4771,-1.8455,8.3393
2.481,1.4728,-1.8078,8.2376
2.4833,1.4684,-1.8307,8.2758
2.4857,1.4641,-1.8041,8.3904
2.4881,1.4598,-1.8284,8.3302
2.4905,1.4555,-1.7891,8.2923
2.4929,1.4512,-1.7817,8.4016
2.4952,1.4469,-1.8086,8.3446
2.4976,1.4427,-1.7695,8.3242
2.5,1.4385,-1.7738,8.3788
2.5024,1.4342,-1.7633,8.3888
2.5048,1.4301,-1.7232,8.3306
2.5071,1.426,-1.7371,8.3276
2.5095,1.4218,-1.7634,8.5171
2.5119,1.4176,-1.7833,8.4757
2.5143,1.4134,-1.7384,8.4273
2.5167,1.4093,-1.7241,8.5127
2.519,1.4051,-1.7314,8.4304
2.5214,1.4011,-1.7257,8.4084
2.5238,1.3969,-1.7595,8.5852
2.5262,1.3926,-1.8078,8.594
2.5286,1.3883,-1.7932,8.5992
2.531,1.384,-1.8503,8.7399
