2.6585,2.9433,2.9093,2.776,2.5679,2.3242,2.0664,1.8154,1.7014,1.7788,2.1904,3.1771,4.6305,6.4935,8.6741,10.953,12.958,14.211,13.722,9.6078,5.1744,1.1991,-1.9044,-4.1229,-3.5006,-1.2981,0.48028,1.476,1.7261,1.7874,1.8084,1.9114,2.0319,2.1442,2.2325,2.302,2.3477,2.3577,2.3456,2.3295
2.655,2.9624,2.9743,2.8751,2.6951,2.4662,2.1994,1.9156,1.7365,1.6888,1.9145,2.7824,4.2762,5.9512,7.8065,10.041,12.157,13.148,12.116,7.9361,3.9961,0.29129,-2.4507,-4.1232,-2.9626,-0.59252,0.95673,1.656,1.7537,1.8085,1.8501,1.9708,2.1158,2.2452,2.3326,2.3804,2.3889,2.3607,2.3271,2.307
2.6663,2.9673,3.0222,2.9277,2.7532,2.5461,2.296,2.0037,1.784,1.7054,1.8339,2.5429,3.7801,5.1146,6.5722,8.4303,10.21,10.928,9.9396,6.4572,3.2682,0.17557,-2.0677,-3.3197,-2.2015,-0.17301,1.0873,1.6493,1.7519,1.8329,1.9164,2.0399,2.1861,2.3021,2.3655,2.3842,2.3757,2.3507,2.3172,2.3001
2.6951,2.9815,3.0825,2.9927,2.8016,2.5942,2.3582,2.07,1.8321,1.7325,1.8094,2.361,3.2843,4.2522,5.2948,6.7233,8.1145,8.5943,7.7768,5.1212,2.7484,0.2992,-1.4362,-2.3267,-1.3748,0.21082,1.1752,1.6522,1.7834,1.9016,1.9979,2.1363,2.2591,2.3366,2.3669,2.3674,2.3533,2.329,2.3131,2.357
2.6989,2.9715,3.0877,3.0015,2.812,2.6044,2.3743,2.1033,1.8733,1.7961,1.8427,2.2882,2.9088,3.5128,4.1071,5.0537,6.0107,6.2104,5.539,3.7283,2.1518,0.37303,-0.8282,-1.278,-0.48439,0.66883,1.3801,1.7649,1.9049,2.0055,2.1059,2.2222,2.3114,2.3609,2.3613,2.3464,2.3329,2.307,2.3061,2.4223
2.693,2.9038,3.0399,2.9448,2.7477,2.5646,2.3883,2.1731,1.9647,1.9159,1.9215,2.25,2.5378,2.7643,2.9043,3.3617,3.8723,3.7646,3.2074,2.2776,1.5042,0.43766,-0.19542,-0.17958,0.46862,1.2074,1.6576,1.8885,1.9889,2.0565,2.1182,2.1849,2.2569,2.3114,2.3172,2.3018,2.3115,2.3425,2.3883,2.5628
2.5796,2.7253,2.9417,2.8692,2.6368,2.4394,2.2996,2.1452,1.9781,1.9182,1.951,2.153,2.1213,2.0645,1.933,1.9876,2.1031,1.9134,1.6728,1.49,1.3742,0.98629,0.78503,0.97623,1.3533,1.6901,1.8945,2.0026,2.0988,2.1414,2.1637,2.1593,2.2042,2.2202,2.2137,2.2102,2.2734,2.4124,2.5495,2.8117
2.326,2.482,2.7933,2.7552,2.4591,2.1726,1.9804,1.8452,1.771,1.706,1.8758,2.0391,1.8731,1.7271,1.5765,1.4295,1.3312,1.3422,1.5575,1.7598,1.9442,1.9574,1.8819,1.8991,1.9284,1.9756,2.0513,2.1473,2.2998,2.3072,2.3309,2.2665,2.2519,2.1877,2.147,2.1753,2.3039,2.5236,2.7663,3.1297
2.1153,2.2473,2.5621,2.472,2.0931,1.7715,1.5939,1.513,1.5774,1.5834,1.8137,2.0244,1.9635,1.8062,1.6313,1.5572,1.5863,1.6562,1.8346,2.0562,2.2784,2.2138,2.1071,2.0755,2.1004,2.1611,2.2167,2.258,2.3409,2.3523,2.3235,2.3052,2.2628,2.2559,2.3009,2.4063,2.5791,2.8252,3.155,3.5138
1.6784,1.5873,1.9133,1.9215,1.6293,1.3881,1.3595,1.4773,1.6484,1.779,1.9659,2.2075,2.1174,1.9713,1.7925,1.7228,1.7583,1.7816,1.9029,2.0669,2.2293,2.1754,2.1637,2.1609,2.2347,2.3582,2.4362,2.4533,2.4912,2.5591,2.5362,2.55,2.5149,2.5625,2.649,2.7699,2.9466,3.1896,3.519,3.8306
1.1199,0.90224,1.4178,1.5936,1.3599,1.1938,1.284,1.5074,1.7908,1.9175,2.0173,2.2514,2.1962,2.034,1.8636,1.8636,2.0009,2.109,2.2706,2.5051,2.6633,2.6203,2.4997,2.4104,2.4091,2.4636,2.4829,2.4689,2.5471,2.6363,2.5986,2.6409,2.6013,2.6305,2.7512,2.9624,3.2387,3.5732,3.9921,4.301
0.30005,0.046119,0.83807,1.2321,1.1233,1.0325,1.156,1.4073,1.7535,1.8824,2.0283,2.2437,2.2704,2.1061,1.9046,1.9235,2.1072,2.2343,2.3939,2.6382,2.8275,2.7593,2.6705,2.5776,2.4737,2.4458,2.4827,2.5094,2.5877,2.7262,2.8604,2.9486,2.8915,2.9358,3.0715,3.2723,3.5203,3.8233,4.2181,4.4988
0.25414,-0.046913,0.66669,1.0586,1.098,1.1307,1.2888,1.5853,1.9702,2.1779,2.2665,2.4485,2.4671,2.3126,2.1161,2.0904,2.2018,2.2991,2.4682,2.6942,2.8781,2.8286,2.8146,2.747,2.6292,2.5379,2.5622,2.6428,2.6344,2.8287,2.982,3.1526,3.121,3.2717,3.4919,3.7001,3.9334,4.2039,4.4789,4.6746
0.32051,-0.030527,0.5892,1.0436,1.2395,1.3782,1.5867,1.9234,2.2864,2.4829,2.4962,2.5951,2.5519,2.4575,2.3121,2.2564,2.3067,2.3627,2.4807,2.5996,2.6928,2.7102,2.7685,2.7693,2.7048,2.6501,2.6939,2.7833,2.795,3.007,3.1885,3.3821,3.4078,3.5606,3.7741,3.9648,4.1821,4.4467,4.6667,4.8686
