-0.33484,-0.45968,-0.56899,-0.61259,-0.55572,-0.52249,-0.47644,-0.43822,-0.3951,-0.35495,-0.24703,-0.1484,-0.057487,0.024957,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.099157,0.17336,0.2558,0.34672,0.44535,0.55327,0.59342,0.63653,0.67476,0.7208,0.75403,0.8109,0.66551,0.51654
-0.43195,-0.59358,-0.73449,-0.79262,-0.71679,-0.67249,-0.6111,-0.56013,-0.50264,-0.44911,-0.30522,-0.17371,-0.052487,0.057439,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.15637,0.25531,0.36523,0.48645,0.61796,0.76185,0.81538,0.87287,0.92384,0.98523,1.0295,1.1054,0.90668,0.70321
-0.52552,-0.72274,-0.89407,-0.96674,-0.87195,-0.81657,-0.73983,-0.67612,-0.60426,-0.53734,-0.35748,-0.1931,-0.041567,0.09584,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.21951,0.34317,0.48058,0.63211,0.79649,0.97635,1.0433,1.1151,1.1788,1.2556,1.311,1.4057,1.1526,0.89344
-0.48759,-0.67217,-0.83086,-0.90352,-0.80874,-0.75335,-0.67662,-0.61291,-0.54105,-0.47413,-0.29427,-0.12988,0.021645,0.15905,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.28272,0.40639,0.54379,0.69532,0.85971,1.0396,1.1065,1.1783,1.2421,1.3188,1.3742,1.469,1.2031,0.93137
-0.46624,-0.64371,-0.79529,-0.86795,-0.77316,-0.71778,-0.64104,-0.57733,-0.50547,-0.43855,-0.25869,-0.09431,0.05722,0.19463,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.31829,0.44196,0.57937,0.7309,0.89528,1.0751,1.1421,1.2139,1.2776,1.3544,1.4098,1.5045,1.2316,0.95271
-0.44089,-0.6099,-0.75302,-0.82569,-0.7309,-0.67552,-0.59878,-0.53507,-0.46321,-0.39629,-0.21643,-0.052048,0.099482,0.23689,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.36056,0.48422,0.62163,0.77316,0.93754,1.1174,1.1843,1.2562,1.3199,1.3966,1.452,1.5468,1.2654,0.97807
-0.41772,-0.579,-0.71441,-0.78707,-0.69229,-0.6369,-0.56016,-0.49645,-0.42459,-0.35768,-0.17781,-0.013431,0.1381,0.27551,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.39917,0.52284,0.66025,0.81178,0.97616,1.156,1.2229,1.2948,1.3585,1.4352,1.4906,1.5854,1.2963,1.0012
-0.39321,-0.54633,-0.67356,-0.74622,-0.65144,-0.59606,-0.51932,-0.45561,-0.38375,-0.31683,-0.13697,0.027414,0.17894,0.31635,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.44002,0.56368,0.70109,0.85262,1.017,1.1969,1.2638,1.3356,1.3994,1.4761,1.5315,1.6263,1.329,1.0257
-0.36954,-0.51477,-0.63411,-0.70677,-0.61199,-0.5566,-0.47987,-0.41616,-0.3443,-0.27738,-0.097518,0.066865,0.21839,0.3558,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.47947,0.60313,0.74054,0.89207,1.0565,1.2363,1.3032,1.3751,1.4388,1.5155,1.5709,1.6657,1.3605,1.0494
-0.34536,-0.48253,-0.59382,-0.66648,-0.5717,-0.51631,-0.43957,-0.37586,-0.304,-0.23709,-0.057225,0.10716,0.25869,0.39609,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.51976,0.64343,0.78083,0.93236,1.0967,1.2766,1.3435,1.4154,1.4791,1.5558,1.6112,1.706,1.3928,1.0736
