0.40601,2.3006,3.8956,3.9811,3.6218,2.9273,0.86798,-1.4168,-0.54001,1.3612,1.7771,3.8782,5.0076,6.4189,6.6986,6.1901,6.3155,7.074,7.2918,6.9806,7.4348,8.0551,8.5104,8.8484,9.1011,9.0769,9.2959,9.564,8.713,10.113,11.716,13.29,16.141,19.907,22.322,23.657,24.982,25.38,23.636,22.522
-0.89285,1.1817,3.041,3.1796,2.9308,2.4482,0.50897,-1.8107,-0.98229,0.94239,1.3789,3.7753,4.9642,6.5304,7.141,6.5795,6.3436,6.8669,6.6408,6.0267,6.3414,7.0699,7.9899,8.8301,9.1703,9.7243,10.595,10.213,8.3129,9.6713,10.94,11.582,14.482,18.758,21.056,22.274,23.683,23.795,21.933,20.993
-2.1958,-0.56978,1.3477,1.6615,1.7348,1.5497,0.046877,-1.6232,-0.82795,0.19879,0.85262,3.3922,4.4717,5.7471,6.8954,6.6869,6.1085,6.5783,6.6651,6.0191,6.183,6.6337,7.8792,8.5588,8.8419,9.8231,10.894,10.114,8.042,9.0257,9.9611,10.03,13.211,17.416,19.768,21.079,22.394,22.459,20.64,19.833
-3.237,-1.8008,-0.22106,0.11115,0.98816,0.75395,-1.2069,-2.1897,-1.133,-0.051045,1.1042,4.6201,5.5829,6.0674,7.1917,6.8613,5.5795,5.9648,6.8694,6.549,6.3399,6.4224,7.7962,8.264,8.3351,9.5692,10.654,9.4122,7.7077,8.4658,8.8912,7.986,11.854,15.925,17.893,19.316,21.167,21.694,19.829,19.08
-4.733,-3.0483,-1.3993,-0.34898,1.8986,1.7754,-1.0835,-2.2093,-1.2638,-0.30746,0.52257,4.7201,5.7187,5.2748,6.1118,5.753,4.3905,5.2065,6.6978,7.3559,6.9303,7.1569,7.7323,8.1105,7.7257,8.3669,9.1802,7.6563,5.697,5.9439,7.4116,7.0538,11.217,15.591,17.841,19.102,20.452,20.709,18.955,18.676
-5.8875,-5.0158,-3.3641,-2.4159,-0.52949,0.03561,-1.4124,-2.0477,-1.1924,0.16669,0.73134,4.1409,5.3017,4.8886,5.2623,4.9141,3.7661,4.2539,5.9658,7.0312,6.764,6.7842,7.2871,7.9821,7.7504,7.9813,8.1656,6.6733,5.4012,4.6847,6.2185,6.5516,10.927,14.77,16.987,18.247,19.234,19.513,18.213,17.863
-6.207,-7.0542,-5.8113,-4.1492,-2.1302,-1.6048,-2.1728,-1.5781,-0.51333,0.90116,2.0217,4.3479,5.222,4.624,4.5493,3.8941,2.9427,4.0723,6.6414,8.3484,8.2881,7.8718,7.7611,7.803,7.058,6.7492,6.7526,5.8929,5.2901,4.5593,6.1006,7.2039,11.289,14.897,17.249,18.678,19.517,19.558,18.39,17.738
-6.2417,-6.815,-5.4975,-4.2034,-2.5787,-1.3923,-0.85032,-0.25984,0.45405,3.2576,4.3798,6.1016,6.4345,5.8426,5.0092,3.6653,2.7923,4.1181,6.8932,8.4772,8.5566,8.4201,7.8468,7.5926,6.883,6.6576,6.7806,6.3343,6.3955,6.0598,7.3764,8.2879,12.003,15.1,16.814,17.978,18.948,19.007,17.772,17.296
-7.6494,-8.7977,-7.023,-4.3812,-1.686,0.25388,1.5962,2.3755,1.9269,4.2005,4.9979,5.9293,5.678,5.3173,4.6622,3.6052,3.0235,4.0143,6.3615,8.149,8.5543,8.456,7.978,7.6718,6.8059,6.1062,5.9235,5.826,5.9855,5.2971,7.2261,8.228,11.212,13.737,15.849,16.935,17.379,17.816,17.004,16.741
-10.352,-11.545,-9.7092,-7.1174,-4.1005,-1.1537,0.91911,1.4807,1.1545,4.0092,4.0609,4.8428,4.6436,4.0323,3.0372,2.144,1.4443,1.4089,3.4528,5.6456,6.7602,6.759,6.9376,7.2683,6.6942,5.3976,4.9316,5.6913,5.8649,5.7626,8.1565,9.8004,11.813,13.916,15.769,16.278,16.28,16.849,16.378,16.206
-13.081,-15.067,-13.015,-10.729,-7.8731,-4.5585,-2.1875,-1.8783,-2.5481,0.69191,0.90154,1.9539,2.9872,2.986,2.1792,1.1477,0.051985,-0.43298,1.024,3.0038,4.3243,4.6709,5.2699,6.0984,5.7176,4.545,4.1929,4.7436,4.7495,5.4384,8.1489,10.121,12.153,14.361,15.733,15.792,15.551,15.77,15.614,15.696
-15.15,-17.627,-15.568,-14.228,-11.969,-8.8472,-6.4576,-5.9005,-6.9038,-3.6062,-3.1871,-1.2621,-0.07211,0.53488,0.46883,-0.27929,-1.5301,-2.3132,-1.2917,0.11273,1.3284,2.2505,3.4476,4.734,4.7339,3.9878,3.7444,3.7348,3.1837,4.2571,7.0856,9.071,11.275,13.673,14.845,14.707,14.407,14.542,14.696,15.178
-17.249,-19.191,-18.041,-18.01,-16.527,-13.928,-11.867,-10.837,-10.726,-7.0435,-6.1823,-3.1832,-2.5001,-1.915,-1.5741,-1.7707,-3.1071,-4.79,-3.9734,-2.9307,-1.7055,-0.79633,0.82564,2.3937,2.9737,2.3643,1.8926,1.9296,0.94667,2.0512,4.851,7.2047,9.4456,12.161,13.69,13.52,13.171,13.663,14.058,14.743
